,Word,Reading,Meaning
627,電波,でんぱ,"electro-magnetic wave, radio wave; nonsense"
628,発電,はつでん,generation (e.g. power)
629,発電所,はつでんしょ,"power plant, power station"
630,天,"てん, あめ, あま",sky; heaven; svarga (heaven-like realm visited as a stage of death and rebirth); deva (divine being of Buddhism)
631,天皇,"てんのう, すめらぎ, すめろぎ",Emperor of Japan
632,天気,てんき,"weather, the elements; fair weather, fine weather"
633,天皇陛下,てんのうへいか,His Majesty the Emperor
634,天井,てんじょう,"ceiling, ceiling price"
635,天然,てんねん,"nature, spontaneity; natural airhead"
636,天候,てんこう,weather
637,天然ガス,てんねんガス,natural gas
638,天下り,あまくだり,retiring high-ranking government officials taking a lucrative job in a private or semi-private corporation
639,天国,てんごく,"paradise, heaven, Kingdom of Heaven"
640,英語,えいご,English (language)
642,物語,ものがたり,"tale, story, legend"
643,語らう,かたらう,"to talk, to tell, to recite, to pledge, to conspire with"
644,語る,かたる,"to talk, to tell, to recite"
645,言語,"げんご, ごんご",language
646,語り,かたり,talking
647,用語,ようご,"term, terminology"
648,国語,こくご,Japanese (language); national language; native Japanese words (as opposed to loanwords)
649,外国語,がいこくご,foreign language
650,聞かす,きかす,"to inform about, to read to, to sing for"
651,新聞,しんぶん,newspaper
652,新聞社,しんぶんしゃ,newspaper company
653,聞き手,ききて,"hearer, listener, audience; interviewer, questioner"
654,新聞紙,しんぶんし,"newsprint, newspaper"
655,前代未聞,ぜんだいみもん,"unheard-of, unprecedented, unparalleled in history (unparallelled), record-breaking"
656,新聞記事,しんぶんきじ,"newspaper story (article, account)"
657,聞き書き,ききがき,account of what one hears
658,聞こえる,きこえる,"to be heard, to be audible; to be said to be, to be reputed"
659,聞き取り,ききとり,listening comprehension
660,食,しょく,"meal, (one's) diet, food, foodstuff(s); eclipse (solar, lunar, etc.)"
661,食事,しょくじ,meal; to eat
662,食品,しょくひん,"commodity, foodstuff"
663,食料,しょくりょう,food
664,食糧,しょくりょう,"provisions, rations, food supply"
665,昼食,"ちゅうしょく, ちゅうじき, ひるげ","lunch, midday meal; food served at a tea party (tea ceremony)"
666,飲食,いんしょく,"food and drink, eating and drinking"
667,給食,きゅうしょく,"school lunch, providing a meal"
668,夕食,ゆうしょく,"evening meal, dinner"
669,食べ物,たべもの,food
670,何,"なに, なん",what; how many (some counter); euph. for genitals or sex
671,何か,"なにか, なんか",something
672,何も,なにも,"nothing (with neg. verbs), not any; and everything else (with noun plus ""mo""), all"
673,何とか,なんとか,"something, something or other, so-and-so; somehow, anyhow, one way or another"
674,何の,どの,"which, what (way)"
675,何より,なにより,"most, best, above all"
676,何でも,なんでも,"any, whatever one likes, by all means, anything, everything"
677,何度,なんど,"how many times?, how often?"
678,何と,なんと,"what, how, whatever"
679,何とも,なんとも,"nothing (with neg. verb), quite, not a bit"
680,南,みなみ,south
681,南アフリカ,みなみアフリカ,South Africa
684,南部,なんぶ,southern part
686,中南米,ちゅうなんべい,Central and South America
687,南米,なんべい,South America
688,南極,なんきょく,"South Pole; the Antarctic, Antarctica"
689,南東,"なんとう, みなみひがし",southeast
690,火,ひ,"fire, flame, blaze"
692,火災,かさい,"conflagration, fire"
693,噴火,ふんか,eruption
694,火砕流,かさいりゅう,"pyroclastic flow (type of volcanic eruption), stone wind"
695,放火,ほうか,"arson, set fire to"
696,火事,かじ,"fire, conflagration"
697,花火,はなび,fireworks
698,戦火,せんか,war
699,火器,かき,"firearms, guns"
700,右,みぎ,"right, right hand side; afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above"
701,右翼,うよく,right-wing
702,左右,さゆう,"left and right; influence, control, domination"
703,右派,うは,right wing
704,右手,みぎて,right hand
705,極右,きょくう,extreme right
706,右中間,うちゅうかん,between right and center fielders (baseball) (centre)
707,右腕,"みぎうで, うわん",right arm
708,右側,"みぎがわ, うそく","right side, right hand"
709,右岸,うがん,right bank (shore)
710,十万,じゅうまん,"100,000, hundred thousand"
712,万全,ばんぜん,"perfection, flawlessness"
713,数万,すうまん,tens of thousands
714,万里,ばんり,thousands of miles
715,万能,"ばんのう, まんのう","all-purpose, utility; almighty, omnipotent"
716,万一,"まんいち, まんいつ","by some chance, by some possibility, if by any chance, 10,000 to 1 odds"
717,万国,ばんこく,"all countries, the whole world, universal, all nations"
718,万人,"ばんにん, ばんじん, まんにん","all people, everybody; ten thousand people"
719,万歳,"ばんざい, ばんぜい","crying ""banzai"" (or raising one's hands in the banzai gesture); something worthy of celebration; giving up; long time; eternal life (and prosperity); banzai (a celebratory cheer), hurrah (hooray, hurray)"
720,左,ひだり,"left, left hand side"
721,向かって左,むかってひだり,on the left as one faces (it)
722,左翼,さよく,left-wing
724,左派,さは,left wing
725,左腕,"さわん, ひだりうで",left arm; left-handed (baseball pitcher)
726,左前,ひだりまえ,"downward course, being badly off, wearing a kimono with the right side tucked under the left"
727,左手,ひだりて,left hand
728,左側,"ひだりがわ, さそく","left, left (hand) side"
729,左記,さき,"undermentioned (statement), following"
730,休み,やすみ,"rest, recess, respite; vacation, holiday, absence, suspension; dormancy (of a silkworm prior to moulting)"
731,夏休み,なつやすみ,"summer vacation, summer holiday"
732,休暇,きゅうか,"holiday, day off, furlough"
733,休日,きゅうじつ,"holiday, day off"
734,休業,きゅうぎょう,"closed (e.g. store), business suspended, shutdown, holiday"
735,連休,れんきゅう,consecutive holidays
736,休する,きゅうする,to come to an end; to rest
737,休憩,きゅうけい,"rest, break, recess, intermission"
738,週休,しゅうきゅう,weekly holiday
739,休戦,きゅうせん,"truce, armistice"
741,毎年,"まいとし, まいねん","every year, yearly, annually"
742,毎週,まいしゅう,every week
743,毎月,"まいげつ, まいつき","every month, each month, monthly"
744,毎回,まいかい,"every time, each round"
745,毎朝,"まいあさ, まいちょう",every morning
746,毎晩,まいばん,every night
747,毎秒,まいびょう,every second
748,毎分,まいふん,"every minute, per minute"
749,毎度,まいど,each time; thank you for your continued patronage
750,母,はは,mother
751,お母さん,おかあさん,mother
752,母親,ははおや,mother
753,父母,"ふぼ, ちちはは","father and mother, parents"
754,母体,ぼたい,"mother's body, esp. when pregnant or after giving birth; parent body, parent organization, heartland"
755,母子,ぼし,mother and child
756,祖母,"そぼ, ばば, おおば, おば, うば",grandmother
757,母国,ぼこく,one's homeland
758,空母,くうぼ,aircraft carrier
759,母校,ぼこう,alma mater
760,読み,よみ,reading
761,読者,どくしゃ,reader
762,読書,"どくしょ, とくしょ",reading
763,読む,よむ,to read
764,積ん読,つんどく,buying books and not reading them
765,読売,よみうり,Yomiuri (newspaper)
766,朗読,ろうどく,"reading aloud, recitation"
767,購読,こうどく,subscription (e.g. magazine)
768,読み方,よみかた,"way of reading, how to read"
769,秒読み,びょうよみ,countdown
770,友,とも,"friend, companion, pal"
771,友人,ゆうじん,friend
772,友好,ゆうこう,friendship
773,友達,ともだち,"friend, companion"
774,住友,すみとも,Sumitomo (company)
775,住友銀行,すみともぎんこう,Sumitomo Bank
776,友情,ゆうじょう,"friendship, fellowship"
777,血友病,けつゆうびょう,haemophilia
778,友愛,ゆうあい,"fraternity, friendship"
779,親友,しんゆう,"close friend, bosom (old, intimate) friend, buddy, crony, chum"
780,父,ちち,father
781,お父さん,おとうさん,father
782,父親,ちちおや,father
784,祖父,"そふ, じじ, じい, おおじ, おじ, そぶ",grandfather; old man; kyogen mask used for the role of an old man
785,義父,ぎふ,"father-in-law, foster father, stepfather"
786,神父,しんぷ,"Catholic priest, abbe"
787,祖父母,そふぼ,grandparents
788,叔父,"おじ, しゅくふ",uncle (younger than one's parent)
789,父子,ふし,father and child (son)
790,雨,あめ,rain
791,大雨,おおあめ,heavy rain
792,梅雨,"ばいう, つゆ",rainy season; rain during the rainy season
793,雨水,"あまみず, うすい","rain water; ""rain water"" solar term (approx. Feb 19)"
794,雨量,うりょう,rainfall
795,降雨,こうう,"rainfall, rain"
796,豪雨,ごうう,"heavy rain, cloudburst, downpour"
797,雨期,うき,rainy season
798,梅雨明け,つゆあけ,the end of the rainy season
799,長雨,"ながあめ, ながめ",long spell of rain
800,立場,たちば,"standpoint, position, situation"
801,連立,れんりつ,"alliance, coalition"
802,国立,こくりつ,national
803,成立,せいりつ,"coming into existence, arrangements, establishment, conclusion, completion"
804,対立,たいりつ,"confrontation, opposition, antagonism"
805,独立,どくりつ,"independence (e.g. Independence Day), self-support"
806,私立,"しりつ, わたくしりつ",private (establishment)
807,設立,せつりつ,"establishment, foundation, incorporation (of a business)"
808,並立,へいりつ,standing abreast
809,確立,かくりつ,establishment
810,手,て,"hand, arm; forepaw, foreleg; handle; hand, worker, help; trouble, care, effort; means, way, trick, move, technique, workmanship; hand, handwriting; kind, type, sort; one's hands, one's possession; ability to cope; hand (of cards)"
811,選手,せんしゅ,"player (in game), team member"
812,選手権,せんしゅけん,"championship, title (of champion)"
813,相手,あいて,"companion, partner, company; other party, addressee; opponent (sports, etc.)"
815,投手,とうしゅ,(baseball) pitcher
816,若手,わかて,young person
817,手続き,てつづき,"procedure, (legal) process, formalities"
818,取っ手,"とって, はしゅ","handle, grip, knob"
819,歌手,かしゅ,singer
820,勢力,せいりょく,"influence, power, might, strength, potency, force, energy"
821,努力,どりょく,"great effort, exertion, endeavour, endeavor, effort"
822,協力,きょうりょく,"cooperation, collaboration"
823,権力,けんりょく,"(political) power, authority, influence"
825,実力,じつりょく,"(real) ability, true strength, merit, efficiency, competency; arms, force"
